DEP;DIR;CODECOM;CODEVOIE;LIBVOIE;TYPEVOIE;CODE_MAJIC;LIBCOM;CODE_POSTAL;DATE_CREATION
73;0;001;0001;CHE DU BOYAT;1;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;0004;CHE DE LA VIE;1;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;0010;CHE DES ALLEMANDS;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0020;CHE DE L ANCIENNE POSTE;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0030;RTE DU BOURG;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0050;CHE COTE EPINE;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0070;RTE DU FAYET;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0080;RTE DE LA GARE;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0081;CHE DE LA GARE;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0090;CHE DE LA GIRARDIERE;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0100;CHE DES GUSTINS;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0120;RTE DU LAC;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0130;CHE LES HAUTS DE COMBELLES;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0140;CHE LES VILLAS DU LAC;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0150;CHE DE MALACOTE;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0160;RTE DU MARAIS;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0170;RTE DE LA MONTAGNE;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0180;CHE DU NOYAU;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0190;CHE DU PORT;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0200;CHE DES PRES;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0210;CHE DE LA RAMAZ;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0220;RTE DU SAUGET;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;0230;CHE SOUS-BOYAT;1;;AIGUEBELETTE LE LAC;73610;20191223
73;0;001;A015;LES CHALETS DU LAC;2;;AIGUEBELETTE LE LAC;73610;19870101
73;0;001;B001;LES ALLEMANDS;3;;AIGUEBELETTE LE LAC;73610;19870101
73;0;001;B002;LA BARBETTE;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B003;LES BARINS;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B004;AUX BARRICADES;3;;AIGUEBELETTE LE LAC;73610;19881208
73;0;001;B005;LE BIMBE;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B006;BOIS BATARD;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B007;BOURABLANCHE;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B008;LE BOURG;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B009;BOYAT;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B010;LA CALAVENCHE;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B011;LES CAMBETS;3;;AIGUEBELETTE LE LAC;73610;20010425
73;0;001;B012;LA CARRIERE;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B013;AU CHANEY;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B014;CHARROUE;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B015;AU CHATAIGNIER;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B016;LE CHATELARD;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B017;LE CLOSET;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B018;LE COLOMBIER;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B019;LA COMBE;3;;AIGUEBELETTE LE LAC;73610;19870101
73;0;001;B020;COMBE DES PRES;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B021;LES COMBELLES;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B022;LA COMBETTE;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B023;AUX COMBETTES;3;;AIGUEBELETTE LE LAC;73610;19870101
73;0;001;B024;COTE EPINE;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B025;COTE NORMAND;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B026;COTES DU LAC;3;;AIGUEBELETTE LE LAC;73610;19870101
73;0;001;B027;COURTERAIE;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B028;AU CRET;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B029;LES CRUISETTES;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B030;LE CUGNET;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B031;LA CULAZ;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B032;AUX CULEES;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B033;LE CURTIL;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B034;LA DRESSIERE;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B035;L ENCLOSE;3;;AIGUEBELETTE LE LAC;73610;19881208
73;0;001;B036;ESSART DESSUS;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B037;LE FAYET;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B038;LE FOLLIOUX;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B039;FOURNIER;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B040;LA GIRARDIERE;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B041;LE GRAND BALMAT;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B042;AU GRAND CHAMP;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B043;LE GRAND ESSART;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B044;GRAND PLAT;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B045;LA GRANDE COTE;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B046;LES GRANDS PRES;3;;AIGUEBELETTE LE LAC;73610;19881201
73;0;001;B047;LA GRAZ;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B048;LES GUSTINS;3;;AIGUEBELETTE LE LAC;73610;19870101
73;0;001;B049;LAC D AIGUEBELETTE;3;;AIGUEBELETTE LE LAC;73610;19881208
73;0;001;B050;LE LACCAZ;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B051;LA LIMACE;3;;AIGUEBELETTE LE LAC;73610;19910714
73;0;001;B052;MALACOTE;3;;AIGUEBELETTE LE LAC;73610;19881201
